segment,sample_count,mu_bar,alpha_s,beta_s,pi0_s,regression_mae,valid,invalid_reason
2016,10,6.695739999999999,1.3375321587716913,1705.7846967097241,1705.7846967097244,27.096591053344127,True,
2017,11,6.8098636363636365,1.195021631503274,1899.2796058109561,1899.2796058109561,32.45903774857536,True,
2018,23,6.6453304347826085,1.290962241613364,6165.691863532663,-2634.77927787334,44.943815912235785,True,
2019,17,6.898005882352941,0.92725017284942,2248.6242307046487,2248.6242307046487,85.23239197033779,True,
2020,6,6.7088,1.1577971139166663,1813.695176837833,1813.695176837833,15.728223318277287,True,
2021,17,6.4581470588235295,1.2335676498493198,4088.6499670000217,-620.131085728101,30.507065400306548,True,
2022,23,6.68555652173913,1.1857776910477953,3077.4342101186376,614.5724268821659,73.8517119334837,True,
2023,20,7.083255000000001,1.3723872629836391,1327.1675324979983,1673.3969119169615,32.322017822742964,True,
2024,14,7.183371428571429,1.226901506090263,2628.505628287027,868.0986935240694,32.9689631330835,True,
2025,14,7.1805142857142865,1.1332064827025345,1905.807158126895,1905.8071581268946,38.50248582943738,True,
2026,3,6.9091,,,,,False,sample_count_less_than_6
